V_ttx	t_ttx
-0.043199999999999995	-3.1992000000000003e-09
-0.043199999999999995	-3.1988e-09
-0.043199999999999995	-3.1984e-09
-0.043199999999999995	-3.198e-09
-0.043199999999999995	-3.1976000000000002e-09
-0.043199999999999995	-3.1972e-09
-0.043199999999999995	-3.1968e-09
-0.043199999999999995	-3.1964000000000003e-09
-0.043199999999999995	-3.196e-09
-0.043199999999999995	-3.1956e-09
-0.043199999999999995	-3.1952000000000003e-09
-0.043199999999999995	-3.1948e-09
-0.043199999999999995	-3.1944e-09
-0.043199999999999995	-3.194e-09
-0.043199999999999995	-3.1936000000000002e-09
-0.043199999999999995	-3.1932e-09
-0.043199999999999995	-3.1928e-09
-0.043199999999999995	-3.1924000000000003e-09
-0.043199999999999995	-3.192e-09
-0.043199999999999995	-3.1916e-09
-0.043199999999999995	-3.1912e-09
-0.043199999999999995	-3.1908e-09
-0.043199999999999995	-3.1904e-09
-0.043199999999999995	-3.19e-09
-0.0384	-3.1896000000000002e-09
-0.0384	-3.1892e-09
-0.0384	-3.1888e-09
-0.0384	-3.1884000000000003e-09
-0.0384	-3.188e-09
-0.0384	-3.1876e-09
-0.0384	-3.1872e-09
-0.0384	-3.1868e-09
-0.0384	-3.1864e-09
-0.0384	-3.186e-09
-0.0384	-3.1856000000000002e-09
-0.0384	-3.1852e-09
-0.0384	-3.1848e-09
-0.0384	-3.1844000000000003e-09
-0.0384	-3.184e-09
-0.0336	-3.1836e-09
-0.0336	-3.1832e-09
-0.0336	-3.1828000000000002e-09
-0.0336	-3.1824e-09
-0.0336	-3.182e-09
-0.0336	-3.1816000000000003e-09
-0.0336	-3.1812e-09
-0.0336	-3.1808e-09
-0.0336	-3.1804e-09
-0.0336	-3.18e-09
-0.0288	-3.1796e-09
-0.0288	-3.1792e-09
-0.0288	-3.1788000000000002e-09
-0.0288	-3.1784e-09
-0.0288	-3.178e-09
-0.0288	-3.1776000000000003e-09
-0.0288	-3.1772e-09
-0.0288	-3.1768e-09
-0.0288	-3.1764e-09
-0.0288	-3.176e-09
-0.023999999999999997	-3.1756e-09
-0.023999999999999997	-3.1752e-09
-0.023999999999999997	-3.1748000000000002e-09
-0.023999999999999997	-3.1744e-09
-0.023999999999999997	-3.174e-09
-0.023999999999999997	-3.1736000000000003e-09
-0.023999999999999997	-3.1732e-09
-0.023999999999999997	-3.1728e-09
-0.023999999999999997	-3.1724e-09
-0.023999999999999997	-3.1720000000000002e-09
-0.023999999999999997	-3.1716e-09
-0.023999999999999997	-3.1712e-09
-0.023999999999999997	-3.1708000000000003e-09
-0.023999999999999997	-3.1704e-09
-0.023999999999999997	-3.17e-09
-0.0192	-3.1696e-09
-0.0192	-3.1692e-09
-0.0192	-3.1688e-09
-0.0192	-3.1684e-09
-0.0192	-3.1680000000000002e-09
-0.0192	-3.1676e-09
